Timestamp,Ax,Ay,Az
1774520315.9488058,0.005,-0.015,1.075
1774520315.996198,0.012,0.005,1.063
1774520316.061889,0.001,0.010,1.077
1774520316.1073923,0.074,0.033,1.449
1774520316.1712773,0.078,-0.010,0.868
1774520316.2199688,-0.046,-0.019,1.031
1774520316.2858984,-0.059,-0.018,1.161
1774520316.3406236,-0.041,0.002,1.071
1774520316.3953981,-0.468,0.898,2.000
1774520316.4503505,-0.027,0.042,1.417
1774520316.498158,-0.052,-0.011,1.088
1774520316.5615835,-0.088,-0.014,1.211
1774520316.6247435,0.102,-0.268,1.313
1774520316.6802588,-0.026,-0.026,1.127
1774520316.7373307,-0.034,0.007,1.149
1774520316.7831001,0.050,-0.006,0.956
1774520316.8511121,-0.271,-0.156,1.804
1774520316.9070036,0.099,0.093,1.037
1774520316.9512162,0.142,0.024,0.893
1774520317.0162668,-0.015,0.012,1.101
1774520317.06193,-0.025,-0.035,1.039
1774520317.1250238,-0.071,-0.024,0.976
1774520317.1883807,-0.112,-0.044,1.259
1774520317.2360728,0.004,-0.004,1.094
1774520317.2992733,0.019,0.103,0.577
1774520317.346587,-0.061,0.006,1.070
1774520317.40691,-0.112,-0.014,1.351
1774520317.4668114,0.087,-0.020,0.937
1774520317.5125742,0.011,0.030,1.016
1774520317.5786812,-0.104,0.008,1.428
1774520317.6362078,-0.009,-0.025,0.903
1774520317.6932628,-0.065,-0.047,1.071
1774520317.7485535,-0.105,0.001,1.177
1774520317.8039975,-0.085,0.002,1.267
1774520317.8515823,-0.008,-0.029,1.044
1774520317.9174662,-0.014,-0.009,1.062
1774520317.9640589,-0.047,0.003,1.181
1774520318.0193355,-0.132,-0.086,1.640
1774520318.0880861,0.079,0.045,0.948
1774520318.1432986,0.091,0.013,0.904
1774520318.1984732,-0.024,0.010,1.145
1774520318.2540352,-0.035,0.000,0.824
1774520318.3091369,-0.066,-0.010,1.063
1774520318.366283,-0.084,-0.020,1.211
1774520318.4154537,0.019,-0.026,1.060
1774520318.4791796,0.020,0.020,1.032
1774520318.534736,-0.101,-0.027,1.290
1774520318.592949,0.008,-0.012,0.880
1774520318.6491358,-0.049,-0.025,1.087
1774520318.6984231,-0.084,0.015,1.143
1774520318.7540534,0.051,0.007,0.935
1774520318.817337,-0.032,-0.047,1.166
1774520318.8665643,-0.021,-0.007,1.046
1774520318.9312449,-0.053,-0.019,1.164
1774520318.9864726,0.002,0.130,1.568
1774520319.0389588,0.115,0.062,0.917
1774520319.0945473,0.030,0.003,1.057
1774520319.148781,0.009,-0.030,1.206
1774520319.2075586,0.010,0.008,1.086
1774520319.2553675,-0.094,-0.115,0.841
1774520319.319521,-0.053,0.017,1.014
1774520319.3789823,-0.046,-0.029,1.034
1774520319.434616,-0.048,0.011,1.052
1774520319.490644,-0.171,-0.032,1.396
1774520319.5478492,0.045,-0.056,0.812
1774520319.604557,-0.067,-0.003,1.162
1774520319.6565914,-0.071,0.004,1.171
1774520319.7122614,-0.031,0.003,1.024
1774520319.770543,-0.157,-0.065,1.153
1774520319.8246565,-0.027,0.002,1.016
1774520319.8863244,-0.019,-0.018,1.036
1774520319.942321,-0.027,0.044,1.011
1774520319.9993188,-0.104,-0.049,1.102
1774520320.0562432,-0.089,-0.026,1.171
1774520320.1119397,0.018,-0.024,1.063
1774520320.1681426,0.025,0.023,1.009
1774520320.2190447,-0.013,0.055,0.820
1774520320.2766435,-0.031,0.045,1.104
1774520320.3318012,0.003,-0.010,1.081
1774520320.3874903,-0.017,-0.051,1.121
1774520320.4467726,-0.014,0.065,0.688
1774520320.5070052,-0.097,0.019,1.192
1774520320.5629334,-0.107,0.001,1.235
1774520320.616186,0.014,-0.059,1.036
1774520320.6757176,0.016,0.048,0.969
1774520320.731317,-0.187,-0.062,1.175
1774520320.7878032,-0.078,0.000,1.087
1774520320.8370857,-0.050,-0.020,1.034
1774520320.8856373,-0.005,0.021,1.015
1774520320.9495873,0.076,0.001,0.847
1774520320.998326,-0.023,-0.039,1.139
1774520321.0647376,-0.055,-0.023,1.102
1774520321.1248882,-0.072,-0.004,1.151
1774520321.1803925,0.160,-0.045,0.450
1774520321.2380629,-0.150,-0.004,1.360
1774520321.2946813,-0.017,0.008,1.065
1774520321.350703,0.021,0.001,0.957
1774520321.3995428,0.063,-0.035,0.971
1774520321.4631147,-0.044,-0.026,1.225
1774520321.5192583,-0.055,-0.000,1.142
